accession	description
"DC655525"	"Fagus crenata mRNA, clone: Fc_TUM08_12J20, 5'end sequence, expressed in inner bark."
"DC653129"	"Fagus crenata mRNA, clone: Fc_TUM08_05M20, 5'end sequence, expressed in inner bark."
"DC655390"	"Fagus crenata mRNA, clone: Fc_TUM08_12D06, 5'end sequence, expressed in inner bark."
"DC653340"	"Fagus crenata mRNA, clone: Fc_TUM08_06G05, 5'end sequence, expressed in inner bark."
"DC652904"	"Fagus crenata mRNA, clone: Fc_TUM08_05C16, 5'end sequence, expressed in inner bark."
"DC653165"	"Fagus crenata mRNA, clone: Fc_TUM08_05O11, 5'end sequence, expressed in inner bark."
"DC655088"	"Fagus crenata mRNA, clone: Fc_TUM08_11F08, 5'end sequence, expressed in inner bark."
"DC652963"	"Fagus crenata mRNA, clone: Fc_TUM08_05F06, 5'end sequence, expressed in inner bark."
"DC655090"	"Fagus crenata mRNA, clone: Fc_TUM08_11F10, 5'end sequence, expressed in inner bark."
"DC654303"	"Fagus crenata mRNA, clone: Fc_TUM08_09C10, 5'end sequence, expressed in inner bark."
"DC654817"	"Fagus crenata mRNA, clone: Fc_TUM08_10J01, 5'end sequence, expressed in inner bark."
"DC654311"	"Fagus crenata mRNA, clone: Fc_TUM08_09C19, 5'end sequence, expressed in inner bark."
"DC655102"	"Fagus crenata mRNA, clone: Fc_TUM08_11F22, 5'end sequence, expressed in inner bark."
"DC654750"	"Fagus crenata mRNA, clone: Fc_TUM08_10F24, 5'end sequence, expressed in inner bark."
"DC651972"	"Fagus crenata mRNA, clone: Fc_TUM08_01A11, 5'end sequence, expressed in inner bark."
"DC656447"	"Fagus crenata mRNA, clone: Fc_TUM08_15F03, 5'end sequence, expressed in inner bark."
"DC656426"	"Fagus crenata mRNA, clone: Fc_TUM08_15E02, 5'end sequence, expressed in inner bark."
"DC656621"	"Fagus crenata mRNA, clone: Fc_TUM08_15N06, 5'end sequence, expressed in inner bark."
"DC656628"	"Fagus crenata mRNA, clone: Fc_TUM08_15N13, 5'end sequence, expressed in inner bark."
"DC655714"	"Fagus crenata mRNA, clone: Fc_TUM08_13C13, 5'end sequence, expressed in inner bark."
"DC656056"	"Fagus crenata mRNA, clone: Fc_TUM08_14C06, 5'end sequence, expressed in inner bark."
"DC656796"	"Fagus crenata mRNA, clone: Fc_TUM08_16F06, 5'end sequence, expressed in inner bark."
"DC657136"	"Fagus crenata mRNA, clone: Fc_TUM08_17E22, 5'end sequence, expressed in inner bark."
"DC657272"	"Fagus crenata mRNA, clone: Fc_TUM08_17L01, 5'end sequence, expressed in inner bark."
"DC653102"	"Fagus crenata mRNA, clone: Fc_TUM08_05L13, 5'end sequence, expressed in inner bark."
"DC655677"	"Fagus crenata mRNA, clone: Fc_TUM08_13A22, 5'end sequence, expressed in inner bark."
"DC657317"	"Fagus crenata mRNA, clone: Fc_TUM08_17M24, 5'end sequence, expressed in inner bark."
"DC652521"	"Fagus crenata mRNA, clone: Fc_TUM08_04B11, 5'end sequence, expressed in inner bark."
"DC652136"	"Fagus crenata mRNA, clone: Fc_TUM08_02H07, 5'end sequence, expressed in inner bark."
"DC652659"	"Fagus crenata mRNA, clone: Fc_TUM08_04H13, 5'end sequence, expressed in inner bark."
"DC652680"	"Fagus crenata mRNA, clone: Fc_TUM08_04I10, 5'end sequence, expressed in inner bark."
"DC652102"	"Fagus crenata mRNA, clone: Fc_TUM08_02E08, 5'end sequence, expressed in inner bark."
"DC652967"	"Fagus crenata mRNA, clone: Fc_TUM08_05F10, 5'end sequence, expressed in inner bark."
"DC652393"	"Fagus crenata mRNA, clone: Fc_TUM08_03L22, 5'end sequence, expressed in inner bark."
"DC656283"	"Fagus crenata mRNA, clone: Fc_TUM08_14M10, 5'end sequence, expressed in inner bark."
"DC652801"	"Fagus crenata mRNA, clone: Fc_TUM08_04N18, 5'end sequence, expressed in inner bark."
"DC657085"	"Fagus crenata mRNA, clone: Fc_TUM08_17C15, 5'end sequence, expressed in inner bark."
"DC656474"	"Fagus crenata mRNA, clone: Fc_TUM08_15G12, 5'end sequence, expressed in inner bark."
"DC656557"	"Fagus crenata mRNA, clone: Fc_TUM08_15K06, 5'end sequence, expressed in inner bark."
"DC655706"	"Fagus crenata mRNA, clone: Fc_TUM08_13C05, 5'end sequence, expressed in inner bark."
"DC655664"	"Fagus crenata mRNA, clone: Fc_TUM08_13A08, 5'end sequence, expressed in inner bark."
"DC656050"	"Fagus crenata mRNA, clone: Fc_TUM08_14B24, 5'end sequence, expressed in inner bark."
"DC656058"	"Fagus crenata mRNA, clone: Fc_TUM08_14C08, 5'end sequence, expressed in inner bark."
"DC652847"	"Fagus crenata mRNA, clone: Fc_TUM08_04P21, 5'end sequence, expressed in inner bark."
"DC653083"	"Fagus crenata mRNA, clone: Fc_TUM08_05K16, 5'end sequence, expressed in inner bark."
"DC653085"	"Fagus crenata mRNA, clone: Fc_TUM08_05K18, 5'end sequence, expressed in inner bark."
"DC657026"	"Fagus crenata mRNA, clone: Fc_TUM08_16P22, 5'end sequence, expressed in inner bark."
"DC655598"	"Fagus crenata mRNA, clone: Fc_TUM08_12N04, 5'end sequence, expressed in inner bark."
"DC655657"	"Fagus crenata mRNA, clone: Fc_TUM08_13A01, 5'end sequence, expressed in inner bark."
"DC652625"	"Fagus crenata mRNA, clone: Fc_TUM08_04G01, 5'end sequence, expressed in inner bark."
"DC656191"	"Fagus crenata mRNA, clone: Fc_TUM08_14I07, 5'end sequence, expressed in inner bark."
"DC652220"	"Fagus crenata mRNA, clone: Fc_TUM08_03D21, 5'end sequence, expressed in inner bark."
"DC652218"	"Fagus crenata mRNA, clone: Fc_TUM08_03D18, 5'end sequence, expressed in inner bark."
"DC652230"	"Fagus crenata mRNA, clone: Fc_TUM08_03E07, 5'end sequence, expressed in inner bark."
"DC656234"	"Fagus crenata mRNA, clone: Fc_TUM08_14K07, 5'end sequence, expressed in inner bark."
"DC652440"	"Fagus crenata mRNA, clone: Fc_TUM08_03O01, 5'end sequence, expressed in inner bark."
"DC652775"	"Fagus crenata mRNA, clone: Fc_TUM08_04M15, 5'end sequence, expressed in inner bark."
"DC652855"	"Fagus crenata mRNA, clone: Fc_TUM08_05A08, 5'end sequence, expressed in inner bark."
"DC656883"	"Fagus crenata mRNA, clone: Fc_TUM08_16J04, 5'end sequence, expressed in inner bark."
"DC652382"	"Fagus crenata mRNA, clone: Fc_TUM08_03L09, 5'end sequence, expressed in inner bark."
"DC653796"	"Fagus crenata mRNA, clone: Fc_TUM08_07L15, 5'end sequence, expressed in inner bark."
"DC653971"	"Fagus crenata mRNA, clone: Fc_TUM08_08D06, 5'end sequence, expressed in inner bark."
"DC653973"	"Fagus crenata mRNA, clone: Fc_TUM08_08D08, 5'end sequence, expressed in inner bark."
"DC652737"	"Fagus crenata mRNA, clone: Fc_TUM08_04K23, 5'end sequence, expressed in inner bark."
"DC652639"	"Fagus crenata mRNA, clone: Fc_TUM08_04G15, 5'end sequence, expressed in inner bark."
"DC654079"	"Fagus crenata mRNA, clone: Fc_TUM08_08I04, 5'end sequence, expressed in inner bark."
"DC653047"	"Fagus crenata mRNA, clone: Fc_TUM08_05I22, 5'end sequence, expressed in inner bark."
"DC653061"	"Fagus crenata mRNA, clone: Fc_TUM08_05J13, 5'end sequence, expressed in inner bark."
"DC654181"	"Fagus crenata mRNA, clone: Fc_TUM08_08M24, 5'end sequence, expressed in inner bark."
"DC655553"	"Fagus crenata mRNA, clone: Fc_TUM08_12L03, 5'end sequence, expressed in inner bark."
"DC656503"	"Fagus crenata mRNA, clone: Fc_TUM08_15H20, 5'end sequence, expressed in inner bark."
"DC654802"	"Fagus crenata mRNA, clone: Fc_TUM08_10I09, 5'end sequence, expressed in inner bark."
"DC654676"	"Fagus crenata mRNA, clone: Fc_TUM08_10C16, 5'end sequence, expressed in inner bark."
"DC654514"	"Fagus crenata mRNA, clone: Fc_TUM08_09L19, 5'end sequence, expressed in inner bark."
"DC655483"	"Fagus crenata mRNA, clone: Fc_TUM08_12H23, 5'end sequence, expressed in inner bark."
"DC654343"	"Fagus crenata mRNA, clone: Fc_TUM08_09E09, 5'end sequence, expressed in inner bark."
"DC651997"	"Fagus crenata mRNA, clone: Fc_TUM08_01C12, 5'end sequence, expressed in inner bark."
"DC651987"	"Fagus crenata mRNA, clone: Fc_TUM08_01C02, 5'end sequence, expressed in inner bark."
"DC656445"	"Fagus crenata mRNA, clone: Fc_TUM08_15F01, 5'end sequence, expressed in inner bark."
"DC656017"	"Fagus crenata mRNA, clone: Fc_TUM08_14A08, 5'end sequence, expressed in inner bark."
"DC656031"	"Fagus crenata mRNA, clone: Fc_TUM08_14B03, 5'end sequence, expressed in inner bark."
"DC656869"	"Fagus crenata mRNA, clone: Fc_TUM08_16I12, 5'end sequence, expressed in inner bark."
"DC657350"	"Fagus crenata mRNA, clone: Fc_TUM08_17O12, 5'end sequence, expressed in inner bark."
"DC657236"	"Fagus crenata mRNA, clone: Fc_TUM08_17J11, 5'end sequence, expressed in inner bark."
"DC656928"	"Fagus crenata mRNA, clone: Fc_TUM08_16L07, 5'end sequence, expressed in inner bark."
"DC655661"	"Fagus crenata mRNA, clone: Fc_TUM08_13A05, 5'end sequence, expressed in inner bark."
"DC655610"	"Fagus crenata mRNA, clone: Fc_TUM08_12N18, 5'end sequence, expressed in inner bark."
"DC656063"	"Fagus crenata mRNA, clone: Fc_TUM08_14C13, 5'end sequence, expressed in inner bark."
"DC652074"	"Fagus crenata mRNA, clone: Fc_TUM08_02B07, 5'end sequence, expressed in inner bark."
"DC652205"	"Fagus crenata mRNA, clone: Fc_TUM08_03D04, 5'end sequence, expressed in inner bark."
"DC652211"	"Fagus crenata mRNA, clone: Fc_TUM08_03D11, 5'end sequence, expressed in inner bark."
"DC652927"	"Fagus crenata mRNA, clone: Fc_TUM08_05D15, 5'end sequence, expressed in inner bark."
"DC652941"	"Fagus crenata mRNA, clone: Fc_TUM08_05E08, 5'end sequence, expressed in inner bark."
"DC651980"	"Fagus crenata mRNA, clone: Fc_TUM08_01B07, 5'end sequence, expressed in inner bark."
"DC653384"	"Fagus crenata mRNA, clone: Fc_TUM08_06I03, 5'end sequence, expressed in inner bark."
"DC653383"	"Fagus crenata mRNA, clone: Fc_TUM08_06I02, 5'end sequence, expressed in inner bark."
"DC651994"	"Fagus crenata mRNA, clone: Fc_TUM08_01C09, 5'end sequence, expressed in inner bark."
"DC654082"	"Fagus crenata mRNA, clone: Fc_TUM08_08I07, 5'end sequence, expressed in inner bark."
"DC652547"	"Fagus crenata mRNA, clone: Fc_TUM08_04C14, 5'end sequence, expressed in inner bark."
"DC652339"	"Fagus crenata mRNA, clone: Fc_TUM08_03J07, 5'end sequence, expressed in inner bark."
"DC653932"	"Fagus crenata mRNA, clone: Fc_TUM08_08B13, 5'end sequence, expressed in inner bark."
"DC652188"	"Fagus crenata mRNA, clone: Fc_TUM08_03C10, 5'end sequence, expressed in inner bark."
"DC655196"	"Fagus crenata mRNA, clone: Fc_TUM08_11K03, 5'end sequence, expressed in inner bark."
"DC654643"	"Fagus crenata mRNA, clone: Fc_TUM08_10B05, 5'end sequence, expressed in inner bark."
"DC655311"	"Fagus crenata mRNA, clone: Fc_TUM08_11P08, 5'end sequence, expressed in inner bark."
"DC653989"	"Fagus crenata mRNA, clone: Fc_TUM08_08E01, 5'end sequence, expressed in inner bark."
"DC656296"	"Fagus crenata mRNA, clone: Fc_TUM08_14M24, 5'end sequence, expressed in inner bark."
"DC656512"	"Fagus crenata mRNA, clone: Fc_TUM08_15I06, 5'end sequence, expressed in inner bark."
"DC656411"	"Fagus crenata mRNA, clone: Fc_TUM08_15D07, 5'end sequence, expressed in inner bark."
"DC655867"	"Fagus crenata mRNA, clone: Fc_TUM08_13J09, 5'end sequence, expressed in inner bark."
"DC655875"	"Fagus crenata mRNA, clone: Fc_TUM08_13J19, 5'end sequence, expressed in inner bark."
"DC652016"	"Fagus crenata mRNA, clone: Fc_TUM08_01E07, 5'end sequence, expressed in inner bark."
"DC656153"	"Fagus crenata mRNA, clone: Fc_TUM08_14G13, 5'end sequence, expressed in inner bark."
"DC652095"	"Fagus crenata mRNA, clone: Fc_TUM08_02D10, 5'end sequence, expressed in inner bark."
"DC652100"	"Fagus crenata mRNA, clone: Fc_TUM08_02E05, 5'end sequence, expressed in inner bark."
"DC652277"	"Fagus crenata mRNA, clone: Fc_TUM08_03G11, 5'end sequence, expressed in inner bark."
"DC652302"	"Fagus crenata mRNA, clone: Fc_TUM08_03H14, 5'end sequence, expressed in inner bark."
"DC652424"	"Fagus crenata mRNA, clone: Fc_TUM08_03N07, 5'end sequence, expressed in inner bark."
"DC652843"	"Fagus crenata mRNA, clone: Fc_TUM08_04P16, 5'end sequence, expressed in inner bark."
"DC652478"	"Fagus crenata mRNA, clone: Fc_TUM08_03P16, 5'end sequence, expressed in inner bark."
"DC656686"	"Fagus crenata mRNA, clone: Fc_TUM08_16A05, 5'end sequence, expressed in inner bark."
"DC657179"	"Fagus crenata mRNA, clone: Fc_TUM08_17G19, 5'end sequence, expressed in inner bark."
"DC652260"	"Fagus crenata mRNA, clone: Fc_TUM08_03F17, 5'end sequence, expressed in inner bark."
"DC653838"	"Fagus crenata mRNA, clone: Fc_TUM08_07N10, 5'end sequence, expressed in inner bark."
"DC652289"	"Fagus crenata mRNA, clone: Fc_TUM08_03G23, 5'end sequence, expressed in inner bark."
"DC652149"	"Fagus crenata mRNA, clone: Fc_TUM08_03A12, 5'end sequence, expressed in inner bark."
"DC652166"	"Fagus crenata mRNA, clone: Fc_TUM08_03B07, 5'end sequence, expressed in inner bark."
"DC654128"	"Fagus crenata mRNA, clone: Fc_TUM08_08K12, 5'end sequence, expressed in inner bark."
"DC653081"	"Fagus crenata mRNA, clone: Fc_TUM08_05K13, 5'end sequence, expressed in inner bark."
"DC654541"	"Fagus crenata mRNA, clone: Fc_TUM08_09M22, 5'end sequence, expressed in inner bark."
"DC655536"	"Fagus crenata mRNA, clone: Fc_TUM08_12K09, 5'end sequence, expressed in inner bark."
"DC655412"	"Fagus crenata mRNA, clone: Fc_TUM08_12E10, 5'end sequence, expressed in inner bark."
"DC655200"	"Fagus crenata mRNA, clone: Fc_TUM08_11K08, 5'end sequence, expressed in inner bark."
"DC652908"	"Fagus crenata mRNA, clone: Fc_TUM08_05C20, 5'end sequence, expressed in inner bark."
"DC655182"	"Fagus crenata mRNA, clone: Fc_TUM08_11J13, 5'end sequence, expressed in inner bark."
"DC654805"	"Fagus crenata mRNA, clone: Fc_TUM08_10I12, 5'end sequence, expressed in inner bark."
"DC654224"	"Fagus crenata mRNA, clone: Fc_TUM08_08O23, 5'end sequence, expressed in inner bark."
"DC655544"	"Fagus crenata mRNA, clone: Fc_TUM08_12K17, 5'end sequence, expressed in inner bark."
"DC654668"	"Fagus crenata mRNA, clone: Fc_TUM08_10C08, 5'end sequence, expressed in inner bark."
"DC652949"	"Fagus crenata mRNA, clone: Fc_TUM08_05E16, 5'end sequence, expressed in inner bark."
"DC656515"	"Fagus crenata mRNA, clone: Fc_TUM08_15I09, 5'end sequence, expressed in inner bark."
"DC656703"	"Fagus crenata mRNA, clone: Fc_TUM08_16A23, 5'end sequence, expressed in inner bark."
"DC656706"	"Fagus crenata mRNA, clone: Fc_TUM08_16B04, 5'end sequence, expressed in inner bark."
"DC655717"	"Fagus crenata mRNA, clone: Fc_TUM08_13C17, 5'end sequence, expressed in inner bark."
"DC655802"	"Fagus crenata mRNA, clone: Fc_TUM08_13G12, 5'end sequence, expressed in inner bark."
"DC655912"	"Fagus crenata mRNA, clone: Fc_TUM08_13L12, 5'end sequence, expressed in inner bark."
"DC656007"	"Fagus crenata mRNA, clone: Fc_TUM08_13P21, 5'end sequence, expressed in inner bark."
"DC656062"	"Fagus crenata mRNA, clone: Fc_TUM08_14C12, 5'end sequence, expressed in inner bark."
"DC656694"	"Fagus crenata mRNA, clone: Fc_TUM08_16A14, 5'end sequence, expressed in inner bark."
"DC656797"	"Fagus crenata mRNA, clone: Fc_TUM08_16F07, 5'end sequence, expressed in inner bark."
"DC656696"	"Fagus crenata mRNA, clone: Fc_TUM08_16A16, 5'end sequence, expressed in inner bark."
"DC656724"	"Fagus crenata mRNA, clone: Fc_TUM08_16B24, 5'end sequence, expressed in inner bark."
"DC656854"	"Fagus crenata mRNA, clone: Fc_TUM08_16H19, 5'end sequence, expressed in inner bark."
"DC657135"	"Fagus crenata mRNA, clone: Fc_TUM08_17E21, 5'end sequence, expressed in inner bark."
"DC657187"	"Fagus crenata mRNA, clone: Fc_TUM08_17H03, 5'end sequence, expressed in inner bark."
"DC656881"	"Fagus crenata mRNA, clone: Fc_TUM08_16J02, 5'end sequence, expressed in inner bark."
"DC652087"	"Fagus crenata mRNA, clone: Fc_TUM08_02C12, 5'end sequence, expressed in inner bark."
"DC657321"	"Fagus crenata mRNA, clone: Fc_TUM08_17N04, 5'end sequence, expressed in inner bark."
"DC652552"	"Fagus crenata mRNA, clone: Fc_TUM08_04C19, 5'end sequence, expressed in inner bark."
"DC652564"	"Fagus crenata mRNA, clone: Fc_TUM08_04D07, 5'end sequence, expressed in inner bark."
"DC652653"	"Fagus crenata mRNA, clone: Fc_TUM08_04H06, 5'end sequence, expressed in inner bark."
"DC652151"	"Fagus crenata mRNA, clone: Fc_TUM08_03A14, 5'end sequence, expressed in inner bark."
"DC652235"	"Fagus crenata mRNA, clone: Fc_TUM08_03E12, 5'end sequence, expressed in inner bark."
"DC652281"	"Fagus crenata mRNA, clone: Fc_TUM08_03G15, 5'end sequence, expressed in inner bark."
"DC652885"	"Fagus crenata mRNA, clone: Fc_TUM08_05B19, 5'end sequence, expressed in inner bark."
"DC652889"	"Fagus crenata mRNA, clone: Fc_TUM08_05B23, 5'end sequence, expressed in inner bark."
"DC652991"	"Fagus crenata mRNA, clone: Fc_TUM08_05G11, 5'end sequence, expressed in inner bark."
"DC652324"	"Fagus crenata mRNA, clone: Fc_TUM08_03I16, 5'end sequence, expressed in inner bark."
"DC652691"	"Fagus crenata mRNA, clone: Fc_TUM08_04I22, 5'end sequence, expressed in inner bark."
"DC656676"	"Fagus crenata mRNA, clone: Fc_TUM08_15P18, 5'end sequence, expressed in inner bark."
"DC656575"	"Fagus crenata mRNA, clone: Fc_TUM08_15K24, 5'end sequence, expressed in inner bark."
"DC655759"	"Fagus crenata mRNA, clone: Fc_TUM08_13E14, 5'end sequence, expressed in inner bark."
"DC655767"	"Fagus crenata mRNA, clone: Fc_TUM08_13E23, 5'end sequence, expressed in inner bark."
"DC657207"	"Fagus crenata mRNA, clone: Fc_TUM08_17I03, 5'end sequence, expressed in inner bark."
"DC657220"	"Fagus crenata mRNA, clone: Fc_TUM08_17I16, 5'end sequence, expressed in inner bark."
"DC657222"	"Fagus crenata mRNA, clone: Fc_TUM08_17I19, 5'end sequence, expressed in inner bark."
"DC657224"	"Fagus crenata mRNA, clone: Fc_TUM08_17I21, 5'end sequence, expressed in inner bark."
"DC656896"	"Fagus crenata mRNA, clone: Fc_TUM08_16J20, 5'end sequence, expressed in inner bark."
"DC657047"	"Fagus crenata mRNA, clone: Fc_TUM08_17A20, 5'end sequence, expressed in inner bark."
"DC652494"	"Fagus crenata mRNA, clone: Fc_TUM08_04A08, 5'end sequence, expressed in inner bark."
"DC656170"	"Fagus crenata mRNA, clone: Fc_TUM08_14H07, 5'end sequence, expressed in inner bark."
"DC652626"	"Fagus crenata mRNA, clone: Fc_TUM08_04G02, 5'end sequence, expressed in inner bark."
"DC652213"	"Fagus crenata mRNA, clone: Fc_TUM08_03D13, 5'end sequence, expressed in inner bark."
"DC652896"	"Fagus crenata mRNA, clone: Fc_TUM08_05C08, 5'end sequence, expressed in inner bark."
"DC652710"	"Fagus crenata mRNA, clone: Fc_TUM08_04J17, 5'end sequence, expressed in inner bark."
"DC655315"	"Fagus crenata mRNA, clone: Fc_TUM08_11P14, 5'end sequence, expressed in inner bark."
"DC652351"	"Fagus crenata mRNA, clone: Fc_TUM08_03J22, 5'end sequence, expressed in inner bark."
"DC652826"	"Fagus crenata mRNA, clone: Fc_TUM08_04O23, 5'end sequence, expressed in inner bark."
"DC653709"	"Fagus crenata mRNA, clone: Fc_TUM08_07H10, 5'end sequence, expressed in inner bark."
"DC654656"	"Fagus crenata mRNA, clone: Fc_TUM08_10B20, 5'end sequence, expressed in inner bark."
"DC655068"	"Fagus crenata mRNA, clone: Fc_TUM08_11E12, 5'end sequence, expressed in inner bark."
"DC653761"	"Fagus crenata mRNA, clone: Fc_TUM08_07K01, 5'end sequence, expressed in inner bark."
"DC653259"	"Fagus crenata mRNA, clone: Fc_TUM08_06C15, 5'end sequence, expressed in inner bark."
"DC653653"	"Fagus crenata mRNA, clone: Fc_TUM08_07E10, 5'end sequence, expressed in inner bark."
"DC653696"	"Fagus crenata mRNA, clone: Fc_TUM08_07G17, 5'end sequence, expressed in inner bark."
"DC653362"	"Fagus crenata mRNA, clone: Fc_TUM08_06H04, 5'end sequence, expressed in inner bark."
"DC655110"	"Fagus crenata mRNA, clone: Fc_TUM08_11G07, 5'end sequence, expressed in inner bark."
"DC655543"	"Fagus crenata mRNA, clone: Fc_TUM08_12K16, 5'end sequence, expressed in inner bark."
"DC655166"	"Fagus crenata mRNA, clone: Fc_TUM08_11I17, 5'end sequence, expressed in inner bark."
"DC655173"	"Fagus crenata mRNA, clone: Fc_TUM08_11J02, 5'end sequence, expressed in inner bark."
"DC655671"	"Fagus crenata mRNA, clone: Fc_TUM08_13A15, 5'end sequence, expressed in inner bark."
"DC655236"	"Fagus crenata mRNA, clone: Fc_TUM08_11L21, 5'end sequence, expressed in inner bark."
"DC655686"	"Fagus crenata mRNA, clone: Fc_TUM08_13B08, 5'end sequence, expressed in inner bark."
"DC655249"	"Fagus crenata mRNA, clone: Fc_TUM08_11M11, 5'end sequence, expressed in inner bark."
"DC654743"	"Fagus crenata mRNA, clone: Fc_TUM08_10F17, 5'end sequence, expressed in inner bark."
"DC654814"	"Fagus crenata mRNA, clone: Fc_TUM08_10I21, 5'end sequence, expressed in inner bark."
"DC654359"	"Fagus crenata mRNA, clone: Fc_TUM08_09F01, 5'end sequence, expressed in inner bark."
"DC654361"	"Fagus crenata mRNA, clone: Fc_TUM08_09F04, 5'end sequence, expressed in inner bark."
"DC656041"	"Fagus crenata mRNA, clone: Fc_TUM08_14B14, 5'end sequence, expressed in inner bark."
"DC656074"	"Fagus crenata mRNA, clone: Fc_TUM08_14C24, 5'end sequence, expressed in inner bark."
"DC656612"	"Fagus crenata mRNA, clone: Fc_TUM08_15M20, 5'end sequence, expressed in inner bark."
"DC656878"	"Fagus crenata mRNA, clone: Fc_TUM08_16I23, 5'end sequence, expressed in inner bark."
"DC656913"	"Fagus crenata mRNA, clone: Fc_TUM08_16K16, 5'end sequence, expressed in inner bark."
"DC657358"	"Fagus crenata mRNA, clone: Fc_TUM08_17O21, 5'end sequence, expressed in inner bark."
"DC653604"	"Fagus crenata mRNA, clone: Fc_TUM08_07C01, 5'end sequence, expressed in inner bark."
"DC652838"	"Fagus crenata mRNA, clone: Fc_TUM08_04P11, 5'end sequence, expressed in inner bark."
"DC654558"	"Fagus crenata mRNA, clone: Fc_TUM08_09N15, 5'end sequence, expressed in inner bark."
"DC654016"	"Fagus crenata mRNA, clone: Fc_TUM08_08F09, 5'end sequence, expressed in inner bark."
"DC653467"	"Fagus crenata mRNA, clone: Fc_TUM08_06L21, 5'end sequence, expressed in inner bark."
"DC654290"	"Fagus crenata mRNA, clone: Fc_TUM08_09B21, 5'end sequence, expressed in inner bark."
"DC654103"	"Fagus crenata mRNA, clone: Fc_TUM08_08J07, 5'end sequence, expressed in inner bark."
"DC654318"	"Fagus crenata mRNA, clone: Fc_TUM08_09D04, 5'end sequence, expressed in inner bark."
"DC653550"	"Fagus crenata mRNA, clone: Fc_TUM08_06P11, 5'end sequence, expressed in inner bark."
"DC654435"	"Fagus crenata mRNA, clone: Fc_TUM08_09I09, 5'end sequence, expressed in inner bark."
"DC655455"	"Fagus crenata mRNA, clone: Fc_TUM08_12G14, 5'end sequence, expressed in inner bark."
"DC655522"	"Fagus crenata mRNA, clone: Fc_TUM08_12J17, 5'end sequence, expressed in inner bark."
"DC655258"	"Fagus crenata mRNA, clone: Fc_TUM08_11M22, 5'end sequence, expressed in inner bark."
"DC655724"	"Fagus crenata mRNA, clone: Fc_TUM08_13C24, 5'end sequence, expressed in inner bark."
"DC654773"	"Fagus crenata mRNA, clone: Fc_TUM08_10H03, 5'end sequence, expressed in inner bark."
"DC656270"	"Fagus crenata mRNA, clone: Fc_TUM08_14L20, 5'end sequence, expressed in inner bark."
"DC656271"	"Fagus crenata mRNA, clone: Fc_TUM08_14L21, 5'end sequence, expressed in inner bark."
"DC654438"	"Fagus crenata mRNA, clone: Fc_TUM08_09I12, 5'end sequence, expressed in inner bark."
"DC656646"	"Fagus crenata mRNA, clone: Fc_TUM08_15O09, 5'end sequence, expressed in inner bark."
"DC656679"	"Fagus crenata mRNA, clone: Fc_TUM08_15P21, 5'end sequence, expressed in inner bark."
"DC656643"	"Fagus crenata mRNA, clone: Fc_TUM08_15O06, 5'end sequence, expressed in inner bark."
"DC656715"	"Fagus crenata mRNA, clone: Fc_TUM08_16B13, 5'end sequence, expressed in inner bark."
"DC656748"	"Fagus crenata mRNA, clone: Fc_TUM08_16D04, 5'end sequence, expressed in inner bark."
"DC657297"	"Fagus crenata mRNA, clone: Fc_TUM08_17M02, 5'end sequence, expressed in inner bark."
"DC657298"	"Fagus crenata mRNA, clone: Fc_TUM08_17M03, 5'end sequence, expressed in inner bark."
"DC657098"	"Fagus crenata mRNA, clone: Fc_TUM08_17D04, 5'end sequence, expressed in inner bark."
"MT727414"	"UNVERIFIED: Fagus crenata isolate 463_2 time for coffee (LOC115970748) gene, partial sequence."
"DC654124"	"Fagus crenata mRNA, clone: Fc_TUM08_08K06, 5'end sequence, expressed in inner bark."
"DC653503"	"Fagus crenata mRNA, clone: Fc_TUM08_06N12, 5'end sequence, expressed in inner bark."
"DC654467"	"Fagus crenata mRNA, clone: Fc_TUM08_09J20, 5'end sequence, expressed in inner bark."
"DC654681"	"Fagus crenata mRNA, clone: Fc_TUM08_10C21, 5'end sequence, expressed in inner bark."
"DC654317"	"Fagus crenata mRNA, clone: Fc_TUM08_09D03, 5'end sequence, expressed in inner bark."
"DC654206"	"Fagus crenata mRNA, clone: Fc_TUM08_08O04, 5'end sequence, expressed in inner bark."
"DC654207"	"Fagus crenata mRNA, clone: Fc_TUM08_08O05, 5'end sequence, expressed in inner bark."
"DC653870"	"Fagus crenata mRNA, clone: Fc_TUM08_07O19, 5'end sequence, expressed in inner bark."
"DC654295"	"Fagus crenata mRNA, clone: Fc_TUM08_09C02, 5'end sequence, expressed in inner bark."
"DC653554"	"Fagus crenata mRNA, clone: Fc_TUM08_06P15, 5'end sequence, expressed in inner bark."
"DC653143"	"Fagus crenata mRNA, clone: Fc_TUM08_05N11, 5'end sequence, expressed in inner bark."
"DC654961"	"Fagus crenata mRNA, clone: Fc_TUM08_10P17, 5'end sequence, expressed in inner bark."
"DC655037"	"Fagus crenata mRNA, clone: Fc_TUM08_11D03, 5'end sequence, expressed in inner bark."
"DC655431"	"Fagus crenata mRNA, clone: Fc_TUM08_12F07, 5'end sequence, expressed in inner bark."
"DC655591"	"Fagus crenata mRNA, clone: Fc_TUM08_12M20, 5'end sequence, expressed in inner bark."
"DC655225"	"Fagus crenata mRNA, clone: Fc_TUM08_11L10, 5'end sequence, expressed in inner bark."
"DC656026"	"Fagus crenata mRNA, clone: Fc_TUM08_14A20, 5'end sequence, expressed in inner bark."
"DC656057"	"Fagus crenata mRNA, clone: Fc_TUM08_14C07, 5'end sequence, expressed in inner bark."
