accession	description
"WPW47815"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WPW47809"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WXH78651"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WXG25949"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW47817"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW47880"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH79140"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH78952"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WPW47941"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WPW48076"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WPW48078"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WPW47960"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WPW48126"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WPW47799"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW47831"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WPW47963"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW48019"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WPW47895"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"WPW48101"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WXG25923"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"QBB88689"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"QBB88695"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WAQ68870"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QBB88678"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WPW47858"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WPW48140"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WPW47917"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW48054"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WPW48062"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WAQ68862"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47811"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WPW47914"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WAQ68843"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47830"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WPW47846"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WPW47981"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WAQ68851"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47980"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH78938"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"WXH78976"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WXH79022"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH79082"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WXH79103"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WXH79220"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WXH79223"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WPW48105"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WPW47974"	"Fagus crenata (Japanese beech) ribosomal protein S8"
